,episode_reward,nb_episode_steps,nb_steps
133,-35.22,23,4427
134,-38.76,23,4450
135,32.64143426294821,36,4486
136,-32.5,25,4511
137,33.0,27,4538
138,40.30377154561208,25,4563
139,41.16781445772426,17,4580
140,-38.05,36,4616
141,32.15325670498085,29,4645
142,34.8639846743295,30,4675
143,-41.81,30,4705
144,32.25454545454545,36,4741
145,33.0,28,4769
146,-38.74000000000001,33,4802
147,-35.44,30,4832
148,33.0,28,4860
149,35.35706599984846,24,4884
150,-32.55,27,4911
151,-36.0,25,4936
152,32.739336492891,38,4974
153,-39.0,31,5005
154,32.204633204633204,27,5032
155,-35.04,31,5063
156,-35.16,29,5092
157,32.337539432176655,37,5129
158,-35.71,25,5154
159,-41.13,32,5186
160,-33.0,27,5213
161,-35.44,25,5238
162,35.424107142857146,23,5261
163,-36.0,20,5281
164,32.18705035971223,41,5322
165,-38.4,28,5350
166,-36.0,25,5375
167,32.03065134099617,27,5402
168,-32.26,39,5441
169,32.582142857142856,34,5475
170,34.474624060150376,33,5508
171,32.58273381294964,43,5551
172,32.06603773584906,31,5582
173,39.94497846864743,26,5608
174,34.24547266014183,23,5631
175,-32.91,25,5656
176,35.29397513801183,28,5684
177,38.45789029535865,30,5714
178,-41.22,28,5742
179,-41.01,26,5768
180,-32.66,25,5793
181,32.059259259259264,51,5844
182,34.60235588449911,40,5884
183,-32.26,45,5929
184,-36.0,32,5961
185,-33.0,19,5980
186,-38.870000000000005,23,6003
187,34.99270918835401,38,6041
188,-35.31,26,6067
189,-32.63,32,6099
190,30.0,24,6123
191,32.03503184713376,27,6150
192,-41.11,25,6175
193,-35.56,33,6208
194,-41.019999999999996,36,6244
195,32.689243027888445,27,6271
196,-33.00000000000001,30,6301
197,34.59947865376817,25,6326
198,-41.36999999999999,25,6351
199,-38.14,20,6371
200,37.20567763931014,26,6397
201,-33.0,33,6430
202,40.599474665310964,19,6449
203,42.88423197188555,21,6470
204,35.10344827586207,45,6515
205,-44.44,24,6539
206,-32.23,33,6572
207,-42.0,21,6593
208,35.382165605095544,25,6618
209,32.2,31,6649
210,32.510288065843625,29,6678
211,-41.8,23,6701
212,35.41585806088226,25,6726
213,32.24,33,6759
214,35.97787610619469,64,6823
215,-32.21,32,6855
216,-36.0,29,6884
217,36.0,21,6905
218,32.859649122807014,39,6944
219,39.67434664120336,26,6970
220,38.823755607776114,21,6991
221,38.498023715415016,18,7009
222,-35.21,26,7035
223,-38.4,18,7053
224,-35.82,29,7082
225,-32.019999999999996,32,7114
226,-42.0,19,7133
227,38.20686484427338,23,7156
228,33.0,42,7198
229,35.83220496482145,22,7220
230,32.80456026058633,26,7246
231,32.066202090592334,28,7274
232,-32.38,36,7310
233,39.995899096872336,29,7339
